2025-07-17 12:11:59,721 - ClawBackend - INFO - [pattern_alert_worker.py:471] - ✅ Pattern detection completed for BTCUSDT:1m
2025-07-17 12:12:01,663 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 12:12:01,664 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 12:12:01,665 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 12:12:01,666 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 12:12:01,667 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 12:12:01,705 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 12:12:03,672 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 12:12:03,674 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 12:12:03,676 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 12:12:03,677 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 12:12:03,678 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 12:12:03,680 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 12:12:05,695 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 12:12:05,697 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 12:12:05,698 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 12:12:05,699 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 12:12:05,701 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 12:12:05,702 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 12:12:07,665 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
